primary_genre,main_aspect,main_reason,review_count,weighted_score,avg_like_count,within_genre_ratio
动作,整体观感,失望难看,5,14.2394,23.4,0.0781
动作,人物关系,爱情关系,2,14.0246,1225.5,0.0312
动作,主题价值,自由希望,2,10.6884,86.5,0.0312
动作,剧情内容,剧情无聊,3,10.5554,36.67,0.0469
动作,人物表演,角色鲜明,2,9.3251,758.5,0.0312
动作,情怀记忆,多年重看,1,9.1574,3488.0,0.0156
动作,主题价值,时代命运,2,8.2442,257.0,0.0312
动作,节奏体验,节奏平淡,1,8.1763,1307.0,0.0156
动作,整体观感,一般还行,2,8.1355,115.5,0.0312
动作,人物表演,演员加分,2,7.4467,30.0,0.0312
动作,情怀记忆,童年回忆,1,6.8406,343.0,0.0156
动作,剧情内容,剧情完整,1,5.2905,72.0,0.0156
动作,主题价值,人生意义,1,3.9444,18.0,0.0156
动作,情怀记忆,怀旧情怀,2,3.3862,1.0,0.0312
动作,整体观感,无感不喜欢,1,3.0794,7.0,0.0156
动作,节奏体验,观看疲劳,2,2.6931,0.5,0.0312
动作,剧情内容,结尾震撼,1,2.6094,4.0,0.0156
动作,画面声音,配乐优秀,1,2.3863,3.0,0.0156
动作,人物表演,演技好,1,2.0986,2.0,0.0156
动作,画面声音,特效优秀,1,2.0986,2.0,0.0156
动作,剧情内容,剧情反转,1,1.6931,1.0,0.0156
动画,整体观感,好看推荐,114,519.8221,467.31,0.2271
动画,剧情内容,剧情精彩,54,293.3073,830.22,0.1076
动画,整体观感,经典神作,30,172.8884,1147.07,0.0598
动画,剧情内容,结尾震撼,23,145.8771,718.17,0.0458
动画,类型题材,动画题材,27,142.1921,632.0,0.0538
动画,整体观感,失望难看,26,138.0417,913.19,0.0518
动画,情绪共鸣,感动,14,110.2969,6693.79,0.0279
动画,整体观感,一般还行,21,106.0373,312.24,0.0418
动画,画面声音,配乐优秀,9,66.237,6681.67,0.0179
动画,人物表演,角色鲜明,11,56.6667,960.45,0.0219
动画,类型题材,科幻设定,10,45.8619,322.2,0.0199
动画,主题价值,人生意义,7,45.7607,638.71,0.0139
动画,画面声音,画面优秀,9,43.2026,281.78,0.0179
动画,人物关系,爱情关系,9,41.4095,881.33,0.0179
动画,剧情内容,逻辑问题,6,38.9277,2179.17,0.012
动画,主题价值,现实社会,8,36.0911,188.5,0.0159
动画,剧情内容,剧情反转,5,35.8066,5041.0,0.01
动画,整体观感,期待落差,8,35.6447,83.62,0.0159
动画,剧情内容,剧情老套,6,33.7314,564.5,0.012
动画,主题价值,自由希望,5,31.1771,531.8,0.01
动画,类型题材,爱情题材,5,30.3391,1335.0,0.01
动画,人物表演,演员加分,5,30.2059,283.0,0.01
动画,导演叙事,导演能力强,5,28.8721,1105.2,0.01
动画,人物关系,家庭亲情,6,27.5718,90.17,0.012
动画,剧情内容,剧情完整,4,26.3671,857.25,0.008
动画,情绪共鸣,治愈,3,24.4489,2008.33,0.006
动画,整体观感,无感不喜欢,8,22.0535,47.5,0.0159
动画,主题价值,人性思考,3,18.9134,467.67,0.006
动画,情怀记忆,童年回忆,4,17.8339,700.75,0.008
动画,节奏体验,节奏平淡,2,17.6017,2676.5,0.004
动画,文化背景,历史文化,5,17.0624,12.6,0.01
动画,导演叙事,叙事优秀,3,15.4851,108.0,0.006
动画,类型题材,犯罪悬疑,2,13.6332,779.0,0.004
动画,剧情内容,剧情理想化,3,13.3859,546.0,0.006
动画,人物表演,表演尴尬,2,12.9174,3448.5,0.004
动画,节奏体验,观看疲劳,4,11.8976,20.5,0.008
动画,人物表演,演技好,2,11.1887,817.5,0.004
动画,人物关系,性别表达,2,10.5656,171.0,0.004
动画,类型题材,原著改编,2,10.5168,128.5,0.004
动画,类型题材,喜剧效果,2,9.7142,560.0,0.004
动画,情绪共鸣,热血,2,9.3771,267.0,0.004
动画,文化背景,美国语境,2,9.0449,33.0,0.004
动画,导演叙事,表达说教,2,8.9837,47.0,0.004
动画,导演叙事,镜头语言好,1,7.993,1088.0,0.002
动画,剧情内容,剧情无聊,3,7.9697,5.33,0.006
动画,人物关系,人物命运,1,7.0014,403.0,0.002
动画,观看体验,重复观看,1,6.6276,277.0,0.002
