movie_name,comment_sentiment_type,comment_sentiment_name,aspect_name,reason_name,review_count,total_like_count,weighted_score,total_reason_mentions,reason_ratio
让子弹飞,negative,差评,情绪共鸣,震撼,1,58,5.0775,1,1.0
让子弹飞,negative,差评,整体观感,失望难看,7,919,39.866,12,0.5833
让子弹飞,negative,差评,整体观感,好看推荐,3,483,16.2293,12,0.25
让子弹飞,negative,差评,整体观感,经典神作,2,166,10.861,12,0.1667
让子弹飞,negative,差评,文化背景,中国语境,2,134,10.425,4,0.5
让子弹飞,negative,差评,文化背景,社会群体,1,202,6.3132,4,0.25
让子弹飞,negative,差评,文化背景,历史文化,1,85,5.4543,4,0.25
让子弹飞,negative,差评,画面声音,画面一般,2,414,12.1991,4,0.5
让子弹飞,negative,差评,画面声音,配乐优秀,1,137,5.9273,4,0.25
让子弹飞,negative,差评,画面声音,特效优秀,1,75,5.3307,4,0.25
让子弹飞,negative,差评,类型题材,喜剧效果,5,1260,29.4381,7,0.7143
让子弹飞,negative,差评,类型题材,战争历史,2,305,11.9576,7,0.2857
让子弹飞,negative,差评,节奏体验,节奏平淡,2,71,8.6592,4,0.5
让子弹飞,negative,差评,节奏体验,节奏拖沓,1,212,6.3613,4,0.25
让子弹飞,negative,差评,节奏体验,观看疲劳,1,40,4.7136,4,0.25
让子弹飞,negative,差评,观看体验,补标记录,1,23,4.1781,1,1.0
让子弹飞,neutral,一般,主题价值,现实社会,3,184,15.014,9,0.3333
让子弹飞,neutral,一般,主题价值,人生意义,2,1857,12.7332,9,0.2222
让子弹飞,neutral,一般,主题价值,时代命运,2,245,11.4159,9,0.2222
让子弹飞,neutral,一般,主题价值,自由希望,1,84,5.4427,9,0.1111
让子弹飞,neutral,一般,主题价值,价值观争议,1,68,5.2341,9,0.1111
让子弹飞,neutral,一般,争议感受,期待落差,2,142,10.5202,6,0.3333
让子弹飞,neutral,一般,争议感受,难以理解,2,160,8.1675,6,0.3333
让子弹飞,neutral,一般,争议感受,审美不合,1,84,5.4427,6,0.1667
让子弹飞,neutral,一般,争议感受,过誉,1,69,5.2485,6,0.1667
让子弹飞,neutral,一般,人物关系,性别表达,5,1258,28.5373,10,0.5
让子弹飞,neutral,一般,人物关系,人物命运,3,2078,19.9302,10,0.3
让子弹飞,neutral,一般,人物关系,爱情关系,2,116,10.1197,10,0.2
让子弹飞,neutral,一般,人物表演,台词经典,3,1009,19.1554,5,0.6
让子弹飞,neutral,一般,人物表演,人物单薄,1,925,7.8309,5,0.2
让子弹飞,neutral,一般,人物表演,角色鲜明,1,158,6.0689,5,0.2
让子弹飞,neutral,一般,剧情内容,剧情精彩,4,1142,24.1995,13,0.3077
让子弹飞,neutral,一般,剧情内容,结尾震撼,3,293,15.9617,13,0.2308
让子弹飞,neutral,一般,剧情内容,逻辑问题,2,351,12.3368,13,0.1538
让子弹飞,neutral,一般,剧情内容,剧情老套,1,177,6.1818,13,0.0769
让子弹飞,neutral,一般,剧情内容,剧情反转,1,68,5.2341,13,0.0769
让子弹飞,neutral,一般,剧情内容,剧情无聊,1,25,4.2581,13,0.0769
让子弹飞,neutral,一般,剧情内容,剧情理想化,1,24,4.2189,13,0.0769
让子弹飞,neutral,一般,导演叙事,表达晦涩,8,3127,46.3975,18,0.4444
让子弹飞,neutral,一般,导演叙事,叙事优秀,5,1321,30.0425,18,0.2778
让子弹飞,neutral,一般,导演叙事,导演能力强,4,2080,23.8601,18,0.2222
让子弹飞,neutral,一般,导演叙事,表达说教,1,925,7.8309,18,0.0556
让子弹飞,neutral,一般,情怀记忆,多年重看,2,835,12.8779,4,0.5
让子弹飞,neutral,一般,情怀记忆,怀旧情怀,1,1833,8.5143,4,0.25
让子弹飞,neutral,一般,情怀记忆,个人经历共鸣,1,19,3.9957,4,0.25
让子弹飞,neutral,一般,情绪共鸣,治愈,1,38,4.6636,2,0.5
让子弹飞,neutral,一般,情绪共鸣,压抑,1,19,3.9957,2,0.5
让子弹飞,neutral,一般,整体观感,失望难看,6,481,29.5709,21,0.2857
让子弹飞,neutral,一般,整体观感,好看推荐,5,308,25.3239,21,0.2381
让子弹飞,neutral,一般,整体观感,经典神作,4,356,21.1399,21,0.1905
让子弹飞,neutral,一般,整体观感,一般还行,3,216,12.918,21,0.1429
让子弹飞,neutral,一般,整体观感,期待落差,2,153,10.6912,21,0.0952
让子弹飞,neutral,一般,整体观感,无感不喜欢,1,84,5.4427,21,0.0476
让子弹飞,neutral,一般,文化背景,历史文化,2,962,12.4685,4,0.5
让子弹飞,neutral,一般,文化背景,社会群体,1,68,5.2341,4,0.25
让子弹飞,neutral,一般,文化背景,中国语境,1,37,4.6376,4,0.25
让子弹飞,neutral,一般,画面声音,画面优秀,3,2791,20.8716,5,0.6
